"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3"
"","variation","Kalendarz biurowy piramidka","id:1003","1010","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","200"
"","variation","Kalendarz biurowy piramidka","id:1003","1210","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","250"
"","variation","Kalendarz biurowy piramidka","id:1003","1430","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","300"
"","variation","Kalendarz biurowy piramidka","id:1003","1850","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","400"
"","variation","Kalendarz biurowy piramidka","id:1003","2270","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","500"
"","variation","Kalendarz biurowy piramidka","id:1003","2710","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","600"
"","variation","Kalendarz biurowy piramidka","id:1003","3110","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","700"
"","variation","Kalendarz biurowy piramidka","id:1003","3530","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","800"
"","variation","Kalendarz biurowy piramidka","id:1003","3950","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","900"
"","variation","Kalendarz biurowy piramidka","id:1003","4370","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia mat jednostronnie","Nakład","1000"
"","variation","Kalendarz biurowy piramidka","id:1003","450","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","50"
"","variation","Kalendarz biurowy piramidka","id:1003","650","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","100"
"","variation","Kalendarz biurowy piramidka","id:1003","830","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","150"
"","variation","Kalendarz biurowy piramidka","id:1003","1050","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","200"
"","variation","Kalendarz biurowy piramidka","id:1003","1310","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","250"
"","variation","Kalendarz biurowy piramidka","id:1003","1510","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","300"
"","variation","Kalendarz biurowy piramidka","id:1003","1930","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","400"
"","variation","Kalendarz biurowy piramidka","id:1003","2370","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","500"
"","variation","Kalendarz biurowy piramidka","id:1003","2770","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","600"
"","variation","Kalendarz biurowy piramidka","id:1003","3230","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","700"
"","variation","Kalendarz biurowy piramidka","id:1003","3650","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","800"
"","variation","Kalendarz biurowy piramidka","id:1003","4090","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","900"
"","variation","Kalendarz biurowy piramidka","id:1003","4530","Kalendarz piramidka","z doklejanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","1000"
"","variation","Kalendarz biurowy piramidka","id:1003","","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","100"
"","variation","Kalendarz biurowy piramidka","id:1003","","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","150"
"","variation","Kalendarz biurowy piramidka","id:1003","","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","200"
"","variation","Kalendarz biurowy piramidka","id:1003","","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","250"
"","variation","Kalendarz biurowy piramidka","id:1003","","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","300"
"","variation","Kalendarz biurowy piramidka","id:1003","","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","400"
"","variation","Kalendarz biurowy piramidka","id:1003","","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","500"
"","variation","Kalendarz biurowy piramidka","id:1003","","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","600"
"","variation","Kalendarz biurowy piramidka","id:1003","","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","700"
"","variation","Kalendarz biurowy piramidka","id:1003","","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","800"
"","variation","Kalendarz biurowy piramidka","id:1003","","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","900"
"","variation","Kalendarz biurowy piramidka","id:1003","","Kalendarz piramidka","z nadrukowanym kalendarium","Uszlachetnienie","Folia soft touch jednostronnie","Nakład","1000"
