"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4"
"","variation","Pakiet promocyjny","id:1011","210","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","1"
"","variation","Pakiet promocyjny","id:1011","420","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","2"
"","variation","Pakiet promocyjny","id:1011","630","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","3"
"","variation","Pakiet promocyjny","id:1011","840","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","4"
"","variation","Pakiet promocyjny","id:1011","1050","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","5"
"","variation","Pakiet promocyjny","id:1011","1260","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","6"
"","variation","Pakiet promocyjny","id:1011","1470","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","7"
"","variation","Pakiet promocyjny","id:1011","1680","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","8"
"","variation","Pakiet promocyjny","id:1011","1890","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","9"
"","variation","Pakiet promocyjny","id:1011","2100","Karty firmowe","1000szt., format 85x55mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","10"
"","variation","Pakiet promocyjny","id:1011","590","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","1"
"","variation","Pakiet promocyjny","id:1011","1180","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","2"
"","variation","Pakiet promocyjny","id:1011","1770","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","3"
"","variation","Pakiet promocyjny","id:1011","2360","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","4"
"","variation","Pakiet promocyjny","id:1011","2950","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","5"
"","variation","Pakiet promocyjny","id:1011","3540","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","6"
"","variation","Pakiet promocyjny","id:1011","4130","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","7"
"","variation","Pakiet promocyjny","id:1011","4720","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","8"
"","variation","Pakiet promocyjny","id:1011","5310","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","9"
"","variation","Pakiet promocyjny","id:1011","5900","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","10"
"","variation","Pakiet promocyjny","id:1011","360","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","1"
"","variation","Pakiet promocyjny","id:1011","720","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","2"
"","variation","Pakiet promocyjny","id:1011","1080","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","3"
"","variation","Pakiet promocyjny","id:1011","1440","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","4"
"","variation","Pakiet promocyjny","id:1011","1800","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","5"
"","variation","Pakiet promocyjny","id:1011","2160","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","6"
"","variation","Pakiet promocyjny","id:1011","2520","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","7"
"","variation","Pakiet promocyjny","id:1011","2880","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","8"
"","variation","Pakiet promocyjny","id:1011","3240","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","9"
"","variation","Pakiet promocyjny","id:1011","3600","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","10"
"","variation","Pakiet promocyjny","id:1011","440","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","1"
"","variation","Pakiet promocyjny","id:1011","880","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","2"
"","variation","Pakiet promocyjny","id:1011","1320","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","3"
"","variation","Pakiet promocyjny","id:1011","1760","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","4"
"","variation","Pakiet promocyjny","id:1011","2200","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","5"
"","variation","Pakiet promocyjny","id:1011","2640","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","6"
"","variation","Pakiet promocyjny","id:1011","3080","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","7"
"","variation","Pakiet promocyjny","id:1011","3520","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","8"
"","variation","Pakiet promocyjny","id:1011","3960","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","9"
"","variation","Pakiet promocyjny","id:1011","4400","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","10"
"","variation","Pakiet promocyjny","id:1011","210","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","1"
"","variation","Pakiet promocyjny","id:1011","420","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","2"
"","variation","Pakiet promocyjny","id:1011","630","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","3"
"","variation","Pakiet promocyjny","id:1011","840","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","4"
"","variation","Pakiet promocyjny","id:1011","1050","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","5"
"","variation","Pakiet promocyjny","id:1011","1260","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","6"
"","variation","Pakiet promocyjny","id:1011","1470","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","7"
"","variation","Pakiet promocyjny","id:1011","1680","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","8"
"","variation","Pakiet promocyjny","id:1011","1890","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","9"
"","variation","Pakiet promocyjny","id:1011","2100","Karty firmowe","1000szt, format 90x50mm","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","10"
"","variation","Pakiet promocyjny","id:1011","380","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","1"
"","variation","Pakiet promocyjny","id:1011","760","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","2"
"","variation","Pakiet promocyjny","id:1011","1140","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","3"
"","variation","Pakiet promocyjny","id:1011","1520","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","4"
"","variation","Pakiet promocyjny","id:1011","1900","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","5"
"","variation","Pakiet promocyjny","id:1011","2280","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","6"
"","variation","Pakiet promocyjny","id:1011","2660","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","7"
"","variation","Pakiet promocyjny","id:1011","3040","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","8"
"","variation","Pakiet promocyjny","id:1011","3420","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","9"
"","variation","Pakiet promocyjny","id:1011","3800","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","1000szt., format A5","Ilość kpl.","10"
"","variation","Pakiet promocyjny","id:1011","150","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","1"
"","variation","Pakiet promocyjny","id:1011","300","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","2"
"","variation","Pakiet promocyjny","id:1011","450","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","3"
"","variation","Pakiet promocyjny","id:1011","600","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","4"
"","variation","Pakiet promocyjny","id:1011","750","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","5"
"","variation","Pakiet promocyjny","id:1011","900","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","6"
"","variation","Pakiet promocyjny","id:1011","1050","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","7"
"","variation","Pakiet promocyjny","id:1011","1200","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","8"
"","variation","Pakiet promocyjny","id:1011","1350","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","9"
"","variation","Pakiet promocyjny","id:1011","1500","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","1szt. o wymiarze 1x2m","Ulotki","brak lub inne wg wyceny","Ilość kpl.","10"
"","variation","Pakiet promocyjny","id:1011","230","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","1"
"","variation","Pakiet promocyjny","id:1011","460","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","2"
"","variation","Pakiet promocyjny","id:1011","690","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","3"
"","variation","Pakiet promocyjny","id:1011","920","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","4"
"","variation","Pakiet promocyjny","id:1011","1150","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","5"
"","variation","Pakiet promocyjny","id:1011","1380","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","6"
"","variation","Pakiet promocyjny","id:1011","1610","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","7"
"","variation","Pakiet promocyjny","id:1011","1840","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","8"
"","variation","Pakiet promocyjny","id:1011","2070","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","9"
"","variation","Pakiet promocyjny","id:1011","2300","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","1000szt., format A5","Ilość kpl.","10"
"","variation","Pakiet promocyjny","id:1011","","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","1"
"","variation","Pakiet promocyjny","id:1011","","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","2"
"","variation","Pakiet promocyjny","id:1011","","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","3"
"","variation","Pakiet promocyjny","id:1011","","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","4"
"","variation","Pakiet promocyjny","id:1011","","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","5"
"","variation","Pakiet promocyjny","id:1011","","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","6"
"","variation","Pakiet promocyjny","id:1011","","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","7"
"","variation","Pakiet promocyjny","id:1011","","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","8"
"","variation","Pakiet promocyjny","id:1011","","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","9"
"","variation","Pakiet promocyjny","id:1011","","Karty firmowe","brak lub inne wg wyceny","Baner powlekany","brak lub inny wg wyceny","Ulotki","brak lub inne wg wyceny","Ilość kpl.","10"
